SampleID	Site	Crop	Plot	Depth	Core_Depth	Crop_Depth	Site_Depth	Crop_Depth_Site	Type
Iowa67	COBS	Soybean	16	60-90	4	Soybean_60-90	COBS_60-90	Soybean_60-90_COBS	Sample
Iowa68	COBS	Soybean	16	90-120	5	Soybean_90-120	COBS_90-120	Soybean_90-120_COBS	Sample
Iowa71	COBS	Soybean	22	0-15	1	Soybean_0-15	COBS_0-15	Soybean_0-15_COBS	Sample
Iowa72	COBS	Soybean	22	15-30	2	Soybean_15-30	COBS_15-30	Soybean_15-30_COBS	Sample
Iowa73	COBS	Soybean	22	30-60	3	Soybean_30-60	COBS_30-60	Soybean_30-60_COBS	Sample
Iowa74	COBS	Soybean	22	60-90	4	Soybean_60-90	COBS_60-90	Soybean_60-90_COBS	Sample
Iowa77	COBS	Soybean	22	150-180	7	Soybean_150-180	COBS_150-180	Soybean_150-180_COBS	Sample
Iowa78	COBS	Soybean	45	0-15	1	Soybean_0-15	COBS_0-15	Soybean_0-15_COBS	Sample
Iowa79	COBS	Soybean	45	15-30	2	Soybean_15-30	COBS_15-30	Soybean_15-30_COBS	Sample
Iowa80	COBS	Soybean	45	30-60	3	Soybean_30-60	COBS_30-60	Soybean_30-60_COBS	Sample
Iowa81	COBS	Soybean	45	60-90	4	Soybean_60-90	COBS_60-90	Soybean_60-90_COBS	Sample
Iowa85	Kanawha	Corn	412	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa86	Kanawha	Corn	412	15-30	2	Corn_15-30	Kanawha_15-30	Corn_15-30_Kanawha	Sample
Iowa87	Kanawha	Corn	412	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa88	Kanawha	Corn	412	60-90	4	Corn_60-90	Kanawha_60-90	Corn_60-90_Kanawha	Sample
Iowa89	Kanawha	Corn	412	90-120	5	Corn_90-120	Kanawha_90-120	Corn_90-120_Kanawha	Sample
Iowa90	Kanawha	Corn	412	120-150	6	Corn_120-150	Kanawha_120-150	Corn_120-150_Kanawha	Sample
Iowa91	Kanawha	Corn	412	150-180	7	Corn_150-180	Kanawha_150-180	Corn_150-180_Kanawha	Sample
Iowa92	Kanawha	Corn	415	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa93	Kanawha	Corn	415	15-30	2	Corn_15-30	Kanawha_15-30	Corn_15-30_Kanawha	Sample
Iowa94	Kanawha	Corn	415	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa97	Kanawha	Corn	415	120-150	6	Corn_120-150	Kanawha_120-150	Corn_120-150_Kanawha	Sample
Iowa99	Kanawha	Corn	417	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa101	Kanawha	Corn	417	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa106	Kanawha	Corn	411	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa107	Kanawha	Corn	411	15-30	2	Corn_15-30	Kanawha_15-30	Corn_15-30_Kanawha	Sample
Iowa108	Kanawha	Corn	411	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa109	Kanawha	Corn	411	60-90	4	Corn_60-90	Kanawha_60-90	Corn_60-90_Kanawha	Sample
Iowa113	Kanawha	Corn	413	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa114	Kanawha	Corn	413	15-30	2	Corn_15-30	Kanawha_15-30	Corn_15-30_Kanawha	Sample
Iowa115	Kanawha	Corn	413	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa116	Kanawha	Corn	413	60-90	4	Corn_60-90	Kanawha_60-90	Corn_60-90_Kanawha	Sample
Iowa117	Kanawha	Corn	413	90-120	5	Corn_90-120	Kanawha_90-120	Corn_90-120_Kanawha	Sample
Iowa120	Kanawha	Corn	418	0-15	1	Corn_0-15	Kanawha_0-15	Corn_0-15_Kanawha	Sample
Iowa121	Kanawha	Corn	418	15-30	2	Corn_15-30	Kanawha_15-30	Corn_15-30_Kanawha	Sample
Iowa122	Kanawha	Corn	418	30-60	3	Corn_30-60	Kanawha_30-60	Corn_30-60_Kanawha	Sample
Iowa123	Kanawha	Corn	418	60-90	4	Corn_60-90	Kanawha_60-90	Corn_60-90_Kanawha	Sample
Iowa126	Kanawha	Corn	418	150-180	7	Corn_150-180	Kanawha_150-180	Corn_150-180_Kanawha	Sample
